graphid,repeatid,vertices, edges, ticks, min-degree, d-bound, nodes-deleted
98,4,100,2,3,1,100,0
99,0,100,2,8,1,100,0
99,1,100,2,1,1,100,0
99,2,100,2,2,1,100,0
99,3,100,2,1,1,100,0
99,4,100,2,1,1,100,0
100,0,100,2,6,1,100,0
100,1,100,2,3,1,100,0
100,2,100,2,2,1,100,0
100,3,100,2,1,1,100,0
100,4,100,2,1,1,100,0
101,0,100,2,8,1,100,0
101,1,100,2,4,1,100,0
101,2,100,2,1,1,100,0
101,3,100,2,2,1,100,0
101,4,100,2,3,1,100,0
102,0,100,2,6,1,100,0
102,1,100,2,1,1,100,0
102,2,100,2,1,1,100,0
102,3,100,2,1,1,100,0
102,4,100,2,1,1,100,0
103,0,100,2,10,1,100,0
103,1,100,2,1,1,100,0
103,2,100,2,1,1,100,0
103,3,100,2,1,1,100,0
103,4,100,2,1,1,100,0
104,0,100,2,7,1,100,0
104,1,100,2,1,1,100,0
104,2,100,2,3,1,100,0
104,3,100,2,1,1,100,0
104,4,100,2,1,1,100,0
105,0,100,2,7,1,100,0
105,1,100,2,2,1,100,0
105,2,100,2,1,1,100,0
105,3,100,2,1,1,100,0
105,4,100,2,1,1,100,0
106,0,100,2,6,1,100,0
106,1,100,2,1,1,100,0
106,2,100,2,1,1,100,0
106,3,100,2,1,1,100,0
106,4,100,2,3,1,100,0
107,0,100,2,7,1,100,0
107,1,100,2,1,1,100,0
107,2,100,2,1,1,100,0
107,3,100,2,1,1,100,0
107,4,100,2,1,1,100,0
108,0,100,2,7,1,100,0
108,1,100,2,1,1,100,0
108,2,100,2,1,1,100,0
108,3,100,2,2,1,100,0
108,4,100,2,2,1,100,0
109,0,100,2,6,1,100,0
109,1,100,2,1,1,100,0
109,2,100,2,1,1,100,0
109,3,100,2,1,1,100,0
109,4,100,2,1,1,100,0
110,0,100,2,7,1,100,0
110,1,100,2,2,1,100,0
110,2,100,2,1,1,100,0
110,3,100,2,1,1,100,0
110,4,100,2,1,1,100,0
111,0,100,2,8,1,100,0
111,1,100,2,1,1,100,0
111,2,100,2,1,1,100,0
111,3,100,2,1,1,100,0
111,4,100,2,1,1,100,0
112,0,100,2,7,1,100,0
112,1,100,2,1,1,100,0
112,2,100,2,1,1,100,0
112,3,100,2,1,1,100,0
112,4,100,2,2,1,100,0
113,0,100,2,7,1,100,0
113,1,100,2,1,1,100,0
113,2,100,2,3,1,100,0
113,3,100,2,2,1,100,0
113,4,100,2,1,1,100,0
114,0,100,2,6,1,100,0
114,1,100,2,2,1,100,0
114,2,100,2,1,1,100,0
114,3,100,2,1,1,100,0
114,4,100,2,1,1,100,0
115,0,100,2,8,1,100,0
115,1,100,2,2,1,100,0
115,2,100,2,1,1,100,0
115,3,100,2,1,1,100,0
115,4,100,2,1,1,100,0
116,0,100,2,7,1,100,0
116,1,100,2,1,1,100,0
116,2,100,2,1,1,100,0
116,3,100,2,1,1,100,0
116,4,100,2,1,1,100,0
117,0,100,2,7,1,100,0
117,1,100,2,2,1,100,0
117,2,100,2,2,1,100,0
117,3,100,2,1,1,100,0
117,4,100,2,1,1,100,0
118,0,100,2,7,1,100,0
118,1,100,2,1,1,100,0
118,2,100,2,1,1,100,0
118,3,100,2,1,1,100,0
118,4,100,2,1,1,100,0
119,0,100,2,9,1,100,0
119,1,100,2,1,1,100,0
119,2,100,2,4,1,100,0
119,3,100,2,1,1,100,0
119,4,100,2,2,1,100,0
120,0,100,2,8,1,100,0
120,1,100,2,1,1,100,0
120,2,100,2,2,1,100,0
120,3,100,2,1,1,100,0
120,4,100,2,3,1,100,0
121,0,100,2,7,1,100,0
121,1,100,2,2,1,100,0
121,2,100,2,2,1,100,0
121,3,100,2,2,1,100,0
121,4,100,2,2,1,100,0
122,0,100,2,6,1,100,0
122,1,100,2,3,1,100,0
122,2,100,2,1,1,100,0
122,3,100,2,1,1,100,0
122,4,100,2,3,1,100,0
123,0,100,2,8,1,100,0
123,1,100,2,1,1,100,0
123,2,100,2,1,1,100,0
123,3,100,2,4,1,100,0
123,4,100,2,1,1,100,0
124,0,100,2,8,1,100,0
124,1,100,2,1,1,100,0
124,2,100,2,1,1,100,0
124,3,100,2,1,1,100,0
124,4,100,2,1,1,100,0
125,0,100,2,8,1,100,0
125,1,100,2,3,1,100,0
125,2,100,2,2,1,100,0
125,3,100,2,1,1,100,0
125,4,100,2,1,1,100,0
126,0,100,2,7,1,100,0
126,1,100,2,1,1,100,0
126,2,100,2,1,1,100,0
126,3,100,2,1,1,100,0
126,4,100,2,4,1,100,0
127,0,100,2,8,1,100,0
127,1,100,2,1,1,100,0
127,2,100,2,1,1,100,0
127,3,100,2,1,1,100,0
127,4,100,2,2,1,100,0
128,0,100,2,7,1,100,0
128,1,100,2,1,1,100,0
128,2,100,2,2,1,100,0
128,3,100,2,2,1,100,0
128,4,100,2,2,1,100,0
129,0,100,2,9,1,100,0
129,1,100,2,1,1,100,0
129,2,100,2,1,1,100,0
129,3,100,2,1,1,100,0
129,4,100,2,2,1,100,0
130,0,100,2,9,1,100,0
130,1,100,2,2,1,100,0
130,2,100,2,2,1,100,0
130,3,100,2,1,1,100,0
130,4,100,2,1,1,100,0
131,0,100,2,5,1,100,0
131,1,100,2,1,1,100,0
131,2,100,2,1,1,100,0
131,3,100,2,1,1,100,0
131,4,100,2,3,1,100,0
132,0,100,2,7,1,100,0
132,1,100,2,1,1,100,0
132,2,100,2,6,1,100,0
132,3,100,2,1,1,100,0
132,4,100,2,1,1,100,0
133,0,100,2,7,1,100,0
133,1,100,2,1,1,100,0
133,2,100,2,1,1,100,0
133,3,100,2,1,1,100,0
133,4,100,2,1,1,100,0
134,0,100,2,7,1,100,0
134,1,100,2,1,1,100,0
134,2,100,2,1,1,100,0
134,3,100,2,1,1,100,0
134,4,100,2,1,1,100,0
135,0,100,2,7,1,100,0
135,1,100,2,4,1,100,0
135,2,100,2,2,1,100,0
135,3,100,2,4,1,100,0
135,4,100,2,2,1,100,0
136,0,100,2,6,1,100,0
136,1,100,2,1,1,100,0
136,2,100,2,3,1,100,0
136,3,100,2,1,1,100,0
136,4,100,2,1,1,100,0
137,0,100,2,8,1,100,0
137,1,100,2,1,1,100,0
137,2,100,2,1,1,100,0
137,3,100,2,1,1,100,0
137,4,100,2,1,1,100,0
138,0,100,2,5,1,100,0
138,1,100,2,1,1,100,0
