graphid,repeatid,vertices, edges, ticks, num-messages-sent,num-bits-sent,num-broadcasts-sent
1158,0,1000,15,63,23209,23209,784
1158,1,1000,15,39,23128,23128,786
1158,2,1000,15,30,23833,23833,812
1158,3,1000,15,45,23457,23457,797
1158,4,1000,15,54,24339,24339,834
1159,0,1000,15,36,22691,22691,777
1159,1,1000,15,54,25402,25402,862
1159,2,1000,15,27,23634,23634,806
1159,3,1000,15,36,24301,24301,819
1159,4,1000,15,66,23689,23689,803
1160,0,1000,15,60,22037,22037,758
1160,1,1000,15,60,22796,22796,770
1160,2,1000,15,120,23174,23174,794
1160,3,1000,15,39,23233,23233,799
1160,4,1000,15,75,24878,24878,841
1161,0,1000,15,78,25163,25163,862
1161,1,1000,15,87,24287,24287,828
1161,2,1000,15,57,23247,23247,790
1161,3,1000,15,45,25214,25214,852
1161,4,1000,15,33,22288,22288,760
1162,0,1000,15,45,25080,25080,855
1162,1,1000,15,36,24061,24061,820
1162,2,1000,15,69,24959,24959,843
1162,3,1000,15,42,25285,25285,852
1162,4,1000,15,42,23973,23973,821
1163,0,1000,15,45,25705,25705,875
1163,1,1000,15,54,23712,23712,804
1163,2,1000,15,39,23361,23361,799
1163,3,1000,15,48,23773,23773,811
1163,4,1000,15,39,23578,23578,806
1164,0,1000,15,72,23756,23756,799
1164,1,1000,15,36,22345,22345,762
1164,2,1000,15,51,24805,24805,838
1164,3,1000,15,36,22813,22813,777
1164,4,1000,15,66,23921,23921,819
1165,0,1000,15,33,22992,22992,784
1165,1,1000,15,54,25127,25127,858
1165,2,1000,15,51,23291,23291,794
1165,3,1000,15,33,24628,24628,833
1165,4,1000,15,96,24037,24037,822
1166,0,1000,15,42,23992,23992,810
1166,1,1000,15,57,22833,22833,795
1166,2,1000,15,36,24787,24787,838
1166,3,1000,15,99,23603,23603,791
1166,4,1000,15,78,25203,25203,866
1167,0,1000,15,48,23554,23554,803
1167,1,1000,15,33,22687,22687,773
1167,2,1000,15,36,24176,24176,828
1167,3,1000,15,90,23306,23306,800
1167,4,1000,15,57,23495,23495,800
1168,0,1000,15,78,24380,24380,833
1168,1,1000,15,60,24201,24201,817
1168,2,1000,15,30,23720,23720,811
1168,3,1000,15,33,22427,22427,765
1168,4,1000,15,54,24779,24779,844
1169,0,1000,15,51,22563,22563,774
1169,1,1000,15,33,23948,23948,808
1169,2,1000,15,54,23471,23471,798
1169,3,1000,15,48,24681,24681,841
1169,4,1000,15,42,24516,24516,834
1170,0,1000,15,45,25908,25908,889
1170,1,1000,15,33,22937,22937,781
1170,2,1000,15,84,24679,24679,833
1170,3,1000,15,69,22830,22830,778
1170,4,1000,15,78,25297,25297,858
1171,0,1000,15,63,25608,25608,876
1171,1,1000,15,69,24450,24450,832
1171,2,1000,15,45,23515,23515,795
1171,3,1000,15,90,24232,24232,831
1171,4,1000,15,48,23713,23713,804
1172,0,1000,15,75,23587,23587,807
1172,1,1000,15,66,24606,24606,837
1172,2,1000,15,51,24762,24762,835
1172,3,1000,15,39,23812,23812,804
1172,4,1000,15,60,23755,23755,814
1173,0,1000,15,54,23659,23659,801
1173,1,1000,15,51,23949,23949,820
1173,2,1000,15,42,23444,23444,794
1173,3,1000,15,30,23962,23962,810
1173,4,1000,15,33,23983,23983,813
1174,0,1000,15,36,24824,24824,842
1174,1,1000,15,102,25823,25823,874
1174,2,1000,15,57,24361,24361,825
1174,3,1000,15,42,22697,22697,767
1174,4,1000,15,39,24299,24299,824
1175,0,1000,15,63,25128,25128,854
1175,1,1000,15,72,23034,23034,786
1175,2,1000,15,60,24864,24864,849
1175,3,1000,15,102,24834,24834,847
1175,4,1000,15,57,23267,23267,801
1176,0,1000,15,60,22914,22914,782
1176,1,1000,15,60,23579,23579,791
1176,2,1000,15,81,22623,22623,768
1176,3,1000,15,33,23754,23754,809
1176,4,1000,15,93,25768,25768,870
1177,0,1000,15,60,23955,23955,813
1177,1,1000,15,90,25361,25361,862
1177,2,1000,15,60,23797,23797,813
1177,3,1000,15,84,21903,21903,750
1177,4,1000,15,42,24137,24137,821
1178,0,1000,15,51,24624,24624,838
1178,1,1000,15,60,21959,21959,755
1178,2,1000,15,66,22815,22815,777
1178,3,1000,15,63,24552,24552,839
1178,4,1000,15,54,23121,23121,789
1179,0,1000,15,54,24780,24780,844
1179,1,1000,15,60,23957,23957,811
1179,2,1000,15,69,23788,23788,807
1179,3,1000,15,69,23950,23950,813
1179,4,1000,15,57,22856,22856,774
1180,0,1000,15,66,24505,24505,831
1180,1,1000,15,36,22980,22980,781
1180,2,1000,15,54,23397,23397,788
1180,3,1000,15,45,22262,22262,750
1180,4,1000,15,42,25119,25119,856
1181,0,1000,15,60,23688,23688,804
1181,1,1000,15,42,22210,22210,751
1181,2,1000,15,45,23847,23847,822
1181,3,1000,15,27,23224,23224,790
1181,4,1000,15,45,22438,22438,764
1182,0,1000,15,42,25976,25976,883
1182,1,1000,15,51,24969,24969,839
1182,2,1000,15,30,23972,23972,817
1182,3,1000,15,105,24934,24934,846
1182,4,1000,15,42,22649,22649,776
1183,0,1000,15,57,24536,24536,834
1183,1,1000,15,45,23760,23760,808
1183,2,1000,15,69,23798,23798,814
1183,3,1000,15,45,23933,23933,805
1183,4,1000,15,36,23157,23157,782
1184,0,1000,15,63,23979,23979,817
1184,1,1000,15,45,24767,24767,851
1184,2,1000,15,69,23018,23018,778
1184,3,1000,15,42,22636,22636,773
1184,4,1000,15,60,22541,22541,770
1185,0,1000,15,39,23592,23592,801
1185,1,1000,15,42,23963,23963,822
1185,2,1000,15,63,24464,24464,828
1185,3,1000,15,54,23495,23495,795
1185,4,1000,15,51,23369,23369,795
1186,0,1000,15,99,23676,23676,817
1186,1,1000,15,81,21940,21940,743
1186,2,1000,15,63,23672,23672,805
1186,3,1000,15,81,24223,24223,830
1186,4,1000,15,72,24404,24404,826
1187,0,1000,15,84,22393,22393,758
1187,1,1000,15,39,25127,25127,848
1187,2,1000,15,144,24251,24251,814
1187,3,1000,15,42,24519,24519,836
1187,4,1000,15,42,23650,23650,810
1188,0,1000,15,75,23693,23693,807
1188,1,1000,15,42,23857,23857,803
1188,2,1000,15,48,25258,25258,863
1188,3,1000,15,60,23989,23989,811
1188,4,1000,15,60,23211,23211,791
1189,0,1000,15,81,24177,24177,821
1189,1,1000,15,81,23600,23600,801
1189,2,1000,15,93,25546,25546,866
1189,3,1000,15,78,22828,22828,789
1189,4,1000,15,48,22532,22532,764
1190,0,1000,15,60,24409,24409,832
1190,1,1000,15,45,23427,23427,796
1190,2,1000,15,120,23810,23810,810
1190,3,1000,15,63,23153,23153,797
1190,4,1000,15,57,23166,23166,793
1191,0,1000,15,48,23160,23160,790
1191,1,1000,15,66,25793,25793,871
1191,2,1000,15,48,24474,24474,834
1191,3,1000,15,72,24449,24449,822
1191,4,1000,15,81,24214,24214,824
1192,0,1000,15,42,23139,23139,792
1192,1,1000,15,69,24881,24881,842
1192,2,1000,15,42,21901,21901,748
1192,3,1000,15,36,24496,24496,835
1192,4,1000,15,36,24497,24497,835
1193,0,1000,15,48,22597,22597,770
1193,1,1000,15,81,22521,22521,768
1193,2,1000,15,60,23163,23163,795
1193,3,1000,15,51,25232,25232,856
1193,4,1000,15,48,23922,23922,813
1194,0,1000,15,33,23266,23266,792
1194,1,1000,15,42,24403,24403,833
1194,2,1000,15,36,24871,24871,848
1194,3,1000,15,57,26417,26417,904
1194,4,1000,15,63,23399,23399,786
1195,0,1000,15,39,23961,23961,817
1195,1,1000,15,27,24676,24676,850
1195,2,1000,15,198,24115,24115,824
1195,3,1000,15,57,24319,24319,813
1195,4,1000,15,54,24414,24414,825
1196,0,1000,15,57,24725,24725,835
1196,1,1000,15,45,23706,23706,805
1196,2,1000,15,54,23330,23330,794
1196,3,1000,15,72,23820,23820,811
1196,4,1000,15,39,21827,21827,738
1197,0,1000,15,51,22815,22815,777
1197,1,1000,15,90,24780,24780,840
1197,2,1000,15,48,24613,24613,837
1197,3,1000,15,51,23499,23499,805
1197,4,1000,15,45,23524,23524,797
1198,0,1000,15,60,23587,23587,799
1198,1,1000,15,36,23643,23643,799
1198,2,1000,15,57,23864,23864,808
1198,3,1000,15,60,24225,24225,816
1198,4,1000,15,57,26365,26365,893
1199,0,1000,15,33,24093,24093,819
1199,1,1000,15,60,21687,21687,740
1199,2,1000,15,45,23016,23016,785
1199,3,1000,15,39,22041,22041,755
1199,4,1000,15,57,23257,23257,788
1200,0,10000,3,87,56822,56822,10411
1200,1,10000,3,72,57613,57613,10521
1200,2,10000,3,84,56622,56622,10391
1200,3,10000,3,114,56214,56214,10309
1200,4,10000,3,93,55845,55845,10275
1201,0,10000,3,84,56428,56428,10337
1201,1,10000,3,78,56663,56663,10355
1201,2,10000,3,78,56444,56444,10299
1201,3,10000,3,60,56346,56346,10343
1201,4,10000,3,69,56217,56217,10269
1202,0,10000,3,60,56668,56668,10359
1202,1,10000,3,78,56427,56427,10277
1202,2,10000,3,120,57322,57322,10451
1202,3,10000,3,69,57141,57141,10490
1202,4,10000,3,75,57084,57084,10405
1203,0,10000,3,78,55842,55842,10274
1203,1,10000,3,93,57075,57075,10450
1203,2,10000,3,114,57623,57623,10460
1203,3,10000,3,66,57155,57155,10492
1203,4,10000,3,90,57134,57134,10447
1204,0,10000,3,120,56705,56705,10425
1204,1,10000,3,96,56499,56499,10385
1204,2,10000,3,90,56323,56323,10359
1204,3,10000,3,78,57188,57188,10458
1204,4,10000,3,99,57355,57355,10475
1205,0,10000,3,81,56831,56831,10385
1205,1,10000,3,60,57065,57065,10444
1205,2,10000,3,63,56707,56707,10428
1205,3,10000,3,66,57085,57085,10348
1205,4,10000,3,84,57083,57083,10474
1206,0,10000,3,63,57138,57138,10416
1206,1,10000,3,60,56969,56969,10326
1206,2,10000,3,60,57454,57454,10488
1206,3,10000,3,93,56525,56525,10293
1206,4,10000,3,84,56623,56623,10330
1207,0,10000,3,87,56242,56242,10318
1207,1,10000,3,69,57043,57043,10452
1207,2,10000,3,81,56381,56381,10350
1207,3,10000,3,69,55928,55928,10225
1207,4,10000,3,72,56133,56133,10324
1208,0,10000,3,81,56449,56449,10315
1208,1,10000,3,123,56678,56678,10437
1208,2,10000,3,99,57361,57361,10503
1208,3,10000,3,60,56849,56849,10385
1208,4,10000,3,66,56382,56382,10329
1209,0,10000,3,69,56858,56858,10407
1209,1,10000,3,60,56449,56449,10387
1209,2,10000,3,81,56382,56382,10276
1209,3,10000,3,90,56375,56375,10285
1209,4,10000,3,99,56634,56634,10379
1210,0,10000,3,84,56006,56006,10228
1210,1,10000,3,69,56467,56467,10341
1210,2,10000,3,72,55486,55486,10139
1210,3,10000,3,63,56795,56795,10393
1210,4,10000,3,78,56571,56571,10295
1211,0,10000,3,72,56409,56409,10349
1211,1,10000,3,105,56798,56798,10345
1211,2,10000,3,60,56761,56761,10299
1211,3,10000,3,90,56619,56619,10357
1211,4,10000,3,87,56659,56659,10371
1212,0,10000,3,69,57105,57105,10436
1212,1,10000,3,84,57129,57129,10436
1212,2,10000,3,72,57271,57271,10407
1212,3,10000,3,78,56989,56989,10369
1212,4,10000,3,84,56801,56801,10350
1213,0,10000,3,72,56693,56693,10380
1213,1,10000,3,66,56458,56458,10370
1213,2,10000,3,72,56772,56772,10416
1213,3,10000,3,102,56766,56766,10390
1213,4,10000,3,129,56429,56429,10388
1214,0,10000,3,81,55774,55774,10262
1214,1,10000,3,81,57219,57219,10519
1214,2,10000,3,141,56567,56567,10372
1214,3,10000,3,66,56534,56534,10395
1214,4,10000,3,75,55056,55056,10178
1215,0,10000,3,93,56707,56707,10416
1215,1,10000,3,60,57003,57003,10418
1215,2,10000,3,60,56726,56726,10337
1215,3,10000,3,69,57283,57283,10500
1215,4,10000,3,63,56849,56849,10381
1216,0,10000,3,84,56660,56660,10426
1216,1,10000,3,66,55834,55834,10227
1216,2,10000,3,93,56211,56211,10352
1216,3,10000,3,69,57379,57379,10485
1216,4,10000,3,87,55865,55865,10247
1217,0,10000,3,66,57087,57087,10440
1217,1,10000,3,69,56249,56249,10307
1217,2,10000,3,54,56308,56308,10325
1217,3,10000,3,78,56960,56960,10399
1217,4,10000,3,81,56484,56484,10351
1218,0,10000,3,69,56763,56763,10360
1218,1,10000,3,75,56634,56634,10387
1218,2,10000,3,66,55766,55766,10267
1218,3,10000,3,60,56689,56689,10414
1218,4,10000,3,81,56044,56044,10282
1219,0,10000,3,84,56971,56971,10412
1219,1,10000,3,54,55832,55832,10159
